date,country,D,H,I,M,S
2021-06-11,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-11,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-12,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-12,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-13,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-13,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-14,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-14,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-15,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-15,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-16,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-16,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-17,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-17,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-18,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-18,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-19,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-19,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-20,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-20,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-21,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-21,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-22,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-23,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-24,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-25,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-26,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-27,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-28,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-29,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-30,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-01,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-02,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-03,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-04,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-05,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-06,Australia,3.0,0.0,0.0,23.0,0.0
2021-07-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-07-07,Australia,3.0,0.0,0.0,23.0,0.0
